Rank,Release Group,Worldwide,Domestic,%,Foreign,%
80,The Personal History of David Copperfield,"$14,258,036","$1,876,298",13.2%,"$12,381,738",86.8%
81,Pawn,"$14,191,042",-,-,"$14,191,042",100%
82,Nightlife,"$14,045,643",-,-,"$14,045,643",100%
83,#Alive,"$13,427,925",-,-,"$13,427,925",100%
84,Howling Village,"$13,394,556",-,-,"$13,394,556",100%
85,Come Play,"$13,167,746","$10,475,990",79.6%,"$2,691,756",20.4%
86,Samjin Company English Class,"$12,761,386",-,-,"$12,761,386",100%
87,Collectors,"$12,640,113",-,-,"$12,640,113",100%
88,No Escapes,"$12,429,014",-,-,"$12,429,014",100%
89,Ducobu 3,"$12,157,793",-,-,"$12,157,793",100%
90,News of the World,"$12,034,845","$12,034,845",100%,-,-
91,Legend No. 17,"$11,811,335",-,-,"$11,811,335",100%
92,Wotakoi: Love Is Hard for Otaku,"$11,702,371",-,-,"$11,702,371",100%
93,Padre no hay más que uno 2: La llegada de la suegra,"$11,700,000",-,-,"$11,700,000",100%
94,The Hunt,"$11,462,193","$5,812,500",50.7%,"$5,649,693",49.3%
95,The Voice of Sin,"$10,983,063",-,-,"$10,983,063",100%
96,Me contro Te - Il film: La vendetta del Signor S,"$10,779,891",-,-,"$10,779,891",100%
97,Impractical Jokers: The Movie,"$10,691,091","$10,691,091",100%,-,-
98,Shinchan: Crash! Scribble Kingdom and Almost Four Heroes,"$10,628,463",-,-,"$10,628,463",100%
99,One Second,"$10,600,000",-,-,"$10,600,000",100%
100,Honest Candidate,"$10,597,464",-,-,"$10,597,464",100%
101,Let Him Go,"$10,436,588","$9,358,025",89.7%,"$1,078,563",10.3%
102,Street Dancer 3D,"$10,339,127",-,-,"$10,339,127",100%
103,My Spy,"$10,200,000",-,-,"$10,200,000",100%
104,The Asadas,"$10,066,797",-,-,"$10,066,797",100%
105,Stolen Identity 2,"$9,687,188",-,-,"$9,687,188",100%
106,10 Days with Dad,"$9,470,574",$856,<0.1%,"$9,469,718",100%
107,365 Days,"$9,458,590",-,-,"$9,458,590",100%
108,Secret Zoo,"$9,457,317",-,-,"$9,457,317",100%
109,Okay Madam,"$9,433,525",-,-,"$9,433,525",100%
110,L'appel de la forêt,"$9,317,347",-,-,"$9,317,347",100%
111,Promising Young Woman,"$9,312,349","$5,288,530",56.8%,"$4,023,819",43.2%
112,Bigfoot Family,"$9,289,701",-,-,"$9,289,701",100%
113,Inception 10th Anniversary re-release,"$9,100,000",-,-,"$9,100,000",100%
114,Break the Silence: The Movie,"$8,954,345",-,-,"$8,954,345",100%
115,The Closet,"$8,948,595",-,-,"$8,948,595",100%
116,Downhill,"$8,899,195","$8,287,061",93.1%,"$612,134",6.9%
117,I Hate Summer,"$8,885,798",-,-,"$8,885,798",100%
118,Les blagues de Toto,"$8,859,185",-,-,"$8,859,185",100%
119,30 jours max,"$8,825,580",-,-,"$8,825,580",100%
120,The Secret Garden,"$8,634,099",-,-,"$8,634,099",100%
121,Eltilerin Savasi,"$8,613,864",-,-,"$8,613,864",100%
122,Malang,"$8,399,765",-,-,"$8,399,765",100%
123,Malasaña 32,"$8,349,331",-,-,"$8,349,331",100%
124,Your Eyes Tell,"$8,005,317",-,-,"$8,005,317",100%
125,AI Amok,"$7,932,191",-,-,"$7,932,191",100%
126,The Lost Prince,"$7,837,980",-,-,"$7,837,980",100%
127,The Marriage Escape,"$7,760,946",-,-,"$7,760,946",100%
128,Spirited Away Studio Ghibli Fest 2020,"$7,733,107",-,-,"$7,733,107",100%
129,Neposredstvenno Kakha,"$7,692,780",-,-,"$7,692,780",100%
130,Princess Mononoke Studio Ghibli Fest 2020,"$7,673,207",-,-,"$7,673,207",100%
131,The Heist of the Century,"$7,558,890",-,-,"$7,558,890",100%
132,Fukushima 50,"$7,494,243",-,-,"$7,494,243",100%
133,The (UN)perfect Guy,"$7,154,649",-,-,"$7,154,649",100%
134,De Gaulle,"$7,145,454",-,-,"$7,145,454",100%
135,Back to the Wharf,"$7,090,000",-,-,"$7,090,000",100%
136,Adu,"$7,085,946",-,-,"$7,085,946",100%
137,The Best Years,"$7,035,246",-,-,"$7,035,246",100%
138,Spycies,"$6,978,537",-,-,"$6,978,537",100%
139,Jim Button and the Wild 13,"$6,880,898",-,-,"$6,880,898",100%
140,Antebellum,"$6,852,361",-,-,"$6,852,361",100%
141,Psy 3: W imie zasad,"$6,725,146",-,-,"$6,725,146",100%
142,Tiec Trang Mau,"$6,709,383",-,-,"$6,709,383",100%
143,Innocence,"$6,659,968",-,-,"$6,659,968",100%
144,Shubh Mangal Zyada Saavdhan,"$6,574,905",-,-,"$6,574,905",100%
145,Silver Skates,"$6,573,398",-,-,"$6,573,398",100%
146,Chhapaak,"$6,532,100","$604,334",9.3%,"$5,927,766",90.7%
147,Fatale,"$6,531,996","$6,274,512",96.1%,"$257,484",3.9%
148,Hammamet,"$6,434,874",-,-,"$6,434,874",100%
149,Lindenberg! Mach dein Ding,"$6,404,964",-,-,"$6,404,964",100%
150,Midnight Swan,"$6,397,065",-,-,"$6,397,065",100%
151,Nausicaä of the Valley of the Wind 2020 Re-release,"$6,395,525",-,-,"$6,395,525",100%
152,"Love Me, Love Me Not","$6,379,318",-,-,"$6,379,318",100%
153,Tout simplement noir,"$6,323,750",-,-,"$6,323,750",100%
154,"My Donkey, My Lover & I","$6,299,870",-,-,"$6,299,870",100%
155,My Boyfriend's Meds,"$6,292,780","$2,971,116",47.2%,"$3,321,664",52.8%
156,Bill & Ted Face the Music,"$6,267,091","$3,439,660",54.9%,"$2,827,431",45.1%
157,Dragon Rider,"$6,192,020",-,-,"$6,192,020",100%
158,Hotel Belgrade,"$6,085,537",-,-,"$6,085,537",100%
159,The Legacy Of Dr. Death: Black File,"$6,024,046",-,-,"$6,024,046",100%
160,The Rhythm Section,"$5,989,583","$5,437,971",90.8%,"$551,612",9.2%
161,Jak zostalem gangsterem. Historia prawdziwa,"$5,975,729",-,-,"$5,975,729",100%
162,How to Be a Good Wife,"$5,916,078",-,-,"$5,916,078",100%
163,Twiceborn,"$5,880,157","$11,527",0.2%,"$5,868,630",99.8%
164,The Royal Bride,"$5,830,719",-,-,"$5,830,719",100%
165,Beasts Clawing at Straws,"$5,796,059",-,-,"$5,796,059",100%
166,Last Letter,"$5,637,897",-,-,"$5,637,897",100%
167,Yowamushi Pedal: The Movie 2020 Re-release,"$5,624,218",-,-,"$5,624,218",100%
168,Klassikokkutulek 2: Pulmad ja matused,"$5,543,147",-,-,"$5,543,147",100%
169,Hocus Pocus 2020 Re-release,"$5,432,992","$4,828,000",88.9%,"$604,992",11.1%
170,Divorce Club,"$5,316,313",-,-,"$5,316,313",100%
171,Cindy La Regia,"$5,222,322",-,-,"$5,222,322",100%
172,Love Aaj Kal,"$5,120,794",-,-,"$5,120,794",100%
173,Masked Ward,"$5,106,794",-,-,"$5,106,794",100%
174,Ayyappanum Koshiyum,"$5,088,713",-,-,"$5,088,713",100%
175,Baba Parasi,"$5,084,342",-,-,"$5,084,342",100%
176,Die Känguru-Chroniken,"$5,081,127",-,-,"$5,081,127",100%
177,The Real Exorcist,"$5,035,830",-,-,"$5,035,830",100%
178,Mayday,"$5,011,408",-,-,"$5,011,408",100%
179,Bheeshma,"$4,997,080",-,-,"$4,997,080",100%
180,Made in Abyss: Dawn of the Deep Soul,"$4,971,635",-,-,"$4,971,635",100%
181,Tengaramon,"$4,948,225",-,-,"$4,948,225",100%
182,Panga,"$4,886,124","$582,720",11.9%,"$4,303,404",88.1%
183,The Tales for Old and Young,"$4,853,143",-,-,"$4,853,143",100%
184,Streltsov,"$4,850,073",-,-,"$4,850,073",100%
185,Mama Weed,"$4,832,849",-,-,"$4,832,849",100%
186,The SpongeBob Movie: Sponge on the Run,"$4,810,790","$4,810,790",100%,-,-
187,The Vets,"$4,788,826",-,-,"$4,788,826",100%
188,The Broken Hearts Gallery,"$4,781,389","$4,067,442",85.1%,"$713,947",14.9%
189,Gladiator 20th Anniversary,"$4,780,585",-,-,"$4,780,585",100%
190,Intruder,"$4,751,103",-,-,"$4,751,103",100%
191,100% Wolf,"$4,676,875","$512,805",11%,"$4,164,070",89%
192,Granny Nanny,"$4,653,879",$432,<0.1%,"$4,653,447",100%
193,Military Wives,"$4,549,863",-,-,"$4,549,863",100%
194,Jawaani Jaaneman,"$4,495,290",-,-,"$4,495,290",100%
195,Not Quite Dead Yet,"$4,405,016",-,-,"$4,405,016",100%
196,Bhoot: Part One - The Haunted Ship,"$4,377,328",-,-,"$4,377,328",100%
197,The Golden Holiday,"$4,356,489",-,-,"$4,356,489",100%
198,Mr. Zoo: The Missing VIP,"$4,354,691",-,-,"$4,354,691",100%
199,The Wretched,"$4,344,913","$1,814,193",41.8%,"$2,530,720",58.2%
200,Delete History,"$4,330,672",-,-,"$4,330,672",100%
201,The Rental,"$4,296,804","$1,637,548",38.1%,"$2,659,256",61.9%
202,Rams,"$4,288,161",-,-,"$4,288,161",100%
203,No Escape,"$4,260,442","$167,962",3.9%,"$4,092,480",96.1%
204,13rd Sister: Three Deadly Days,"$4,251,538",-,-,"$4,251,538",100%
205,The Empty Man,"$4,176,641","$2,992,948",71.7%,"$1,183,693",28.3%
206,Superintelligence,"$4,159,299",-,-,"$4,159,299",100%
207,Thappad,"$4,112,382",-,-,"$4,112,382",100%
208,"Yes, I Do","$4,100,000",-,-,"$4,100,000",100%
209,Infidel,"$4,051,990","$4,051,990",100%,-,-
210,25 lat niewinnosci. Sprawa Tomka Komendy,"$4,025,527",-,-,"$4,025,527",100%
211,Asphalt Burning,"$3,989,896",-,-,"$3,989,896",100%
212,Bye Bye Morons,"$3,964,600",-,-,"$3,964,600",100%
213,Grand Blue,"$3,930,159",-,-,"$3,930,159",100%
214,Cats & Dogs 3: Paws Unite,"$3,898,623",-,-,"$3,898,623",100%
215,"Yakari, a Spectacular Journey","$3,798,496",-,-,"$3,798,496",100%
216,Dreambuilders,"$3,797,930",-,-,"$3,797,930",100%
217,Another Round,"$3,779,760",-,-,"$3,779,760",100%
218,André Rieu - 70 Years Young,"$3,714,938",-,-,"$3,714,938",100%
219,Figli,"$3,691,574",-,-,"$3,691,574",100%
220,Marafon zhelaniy,"$3,688,995",-,-,"$3,688,995",100%
221,Lassie Come Home,"$3,683,314",-,-,"$3,683,314",100%
222,Find Your Voice,"$3,634,579",-,-,"$3,634,579",100%
223,Obratnaya svyaz,"$3,620,042",-,-,"$3,620,042",100%
224,The Elfkins,"$3,582,825",-,-,"$3,582,825",100%
225,Run,"$3,571,536",-,-,"$3,571,536",100%
