Rank,Release Group,Worldwide,Domestic,%,Foreign,%
374,Marche avec les loups,"$1,219,228",-,-,"$1,219,228",100%
375,The Final Stand,"$1,218,682",-,-,"$1,218,682",100%
376,Fabrizio De Andrè & PFM - Il concerto ritrovato,"$1,216,390",-,-,"$1,216,390",100%
377,Alla Pugachyova. Tot Samyi Kontsert,"$1,213,396",-,-,"$1,213,396",100%
378,The Nest,"$1,183,639","$137,886",11.6%,"$1,045,753",88.4%
379,True to the Game 2,"$1,181,823","$1,181,823",100%,-,-
380,Palm Springs,"$1,174,241","$164,000",14%,"$1,010,241",86%
381,Padrenostro,"$1,172,855",-,-,"$1,172,855",100%
382,The Way We Are,"$1,166,324",-,-,"$1,166,324",100%
383,Farewell: Comedy of Life Begins with A Lie,"$1,162,920",-,-,"$1,162,920",100%
384,De Club van Sinterklaas & het Grote Pietenfeest,"$1,151,632",-,-,"$1,151,632",100%
385,Monster Strike the Movie: Lucifer - Zetsubou no Yoake,"$1,150,799",-,-,"$1,150,799",100%
386,Hinatazaka46 Documentary Movie: Debut After 3 Years,"$1,143,074",-,-,"$1,143,074",100%
387,The Vigil,"$1,138,611","$30,783",2.7%,"$1,107,828",97.3%
388,Hope Gap,"$1,136,167","$104,732",9.2%,"$1,031,435",90.8%
389,Mother,"$1,123,459",-,-,"$1,123,459",100%
390,"Goodbye, America","$1,123,335",-,-,"$1,123,335",100%
391,Shikara,"$1,109,387",-,-,"$1,109,387",100%
392,Anjaam Pathiraa,"$1,106,211",-,-,"$1,106,211",100%
393,On the Edge,"$1,091,203",-,-,"$1,091,203",100%
394,Bábovky,"$1,089,817",-,-,"$1,089,817",100%
395,Andra Sidan,"$1,076,921",-,-,"$1,076,921",100%
396,Chal Mera Putt 2,"$1,070,997","$445,000",41.6%,"$625,997",58.4%
397,Love and Monsters,"$1,070,714","$1,070,714",100%,-,-
398,Synchronic,"$1,059,159","$636,673",60.1%,"$422,486",39.9%
399,Summerland,"$1,052,021","$58,498",5.6%,"$993,523",94.4%
400,Selfie,"$1,051,848",-,-,"$1,051,848",100%
401,Becky,"$1,045,873","$1,003,700",96%,"$42,173",4%
402,Adorables,"$1,043,185",-,-,"$1,043,185",100%
403,Love Sarah,"$1,039,214",-,-,"$1,039,214",100%
404,The Last Shift,"$1,035,128","$1,034,467",99.9%,$661,<0.1%
405,Guns Akimbo,"$1,034,769",-,-,"$1,034,769",100%
406,Keep Your Hands Off Eizouken!,"$1,034,117",-,-,"$1,034,117",100%
407,Ask Tesadüfleri Sever 2,"$1,033,730",-,-,"$1,033,730",100%
408,Fjols til Fjells,"$1,031,512",-,-,"$1,031,512",100%
409,Havel,"$1,024,686",-,-,"$1,024,686",100%
410,Legally Declared Dead,"$1,024,495",-,-,"$1,024,495",100%
411,Color Out of Space,"$1,023,510","$765,561",74.8%,"$257,949",25.2%
412,Deeper!,"$1,014,750",-,-,"$1,014,750",100%
413,Dreams 2020 Re-release,"$1,006,954",-,-,"$1,006,954",100%
414,Rundfunk: Jachterwachter,"$995,992",-,-,"$995,992",100%
415,On the Rocks,"$992,103",-,-,"$992,103",100%
416,I'm Livin' It,"$989,423",-,-,"$989,423",100%
417,Ella Bella Bingo,"$981,817",-,-,"$981,817",100%
418,Kruimeltje,"$981,341",-,-,"$981,341",100%
419,Babyteeth,"$976,611","$4,507",0.5%,"$972,104",99.5%
420,Drama Queen,"$972,116",-,-,"$972,116",100%
421,Bohemian Rhapsody 2020 Re-release,"$958,119","$240,000",25%,"$718,119",75%
422,A Childhood 2020 Re-release,"$950,606",-,-,"$950,606",100%
423,The Demon Inside,"$949,386",-,-,"$949,386",100%
424,Tobulas Pasimatymas,"$947,455",-,-,"$947,455",100%
425,At the Dacha,"$944,019",-,-,"$944,019",100%
426,The Ties,"$941,660",-,-,"$941,660",100%
427,Riverdance 25th Anniversary Show,"$932,063","$81,879",8.8%,"$850,184",91.2%
428,Given,"$930,363",-,-,"$930,363",100%
429,The Perilous Internet Ring,"$930,000",-,-,"$930,000",100%
430,Enormous,"$928,576",-,-,"$928,576",100%
431,The Lion King 2020 Re-release,"$927,592",-,-,"$927,592",100%
432,La Foquita: El 10 de la calle,"$912,491",-,-,"$912,491",100%
433,Possessor,"$907,161","$752,885",83%,"$154,276",17%
434,Horizon Line,"$907,158",-,-,"$907,158",100%
435,Secret × Heroine Phantomirage!: Eiga ni Natte Chodaishimasu,"$899,992",-,-,"$899,992",100%
436,The Grinch 2020 Re-release,"$896,798","$473,781",52.8%,"$423,017",47.2%
437,Night of the Undead,"$890,148",-,-,"$890,148",100%
438,Mafia Inc,"$889,863","$889,863",100%,-,-
439,National Lampoon's Christmas Vacation 2020 Re-release,"$889,500","$871,000",97.9%,"$18,500",2.1%
440,Hidden Away,"$882,746",-,-,"$882,746",100%
441,Dwelling in the Fuchun Mountains,"$877,336",-,-,"$877,336",100%
442,Royal Opera House Live Cinema Season 2019/20: The Sleeping Beauty,"$867,186",-,-,"$867,186",100%
443,Cut Throat City,"$864,928","$855,894",99%,"$9,034",1%
444,Mine de rien,"$864,767",-,-,"$864,767",100%
445,The Widow,"$863,070",-,-,"$863,070",100%
446,Blackbird,"$860,332",-,-,"$860,332",100%
447,Capone,"$858,281",-,-,"$858,281",100%
448,Mad Max: Fury Road 2020 Re-release,"$854,794",-,-,"$854,794",100%
449,Buddy Games,"$853,898","$405,904",47.5%,"$447,994",52.5%
450,De Grote Sinterklaasfilm,"$851,503",-,-,"$851,503",100%
451,Sol,"$849,404",$327,<0.1%,"$849,077",100%
452,Endless,"$846,294",-,-,"$846,294",100%
453,One in A Hundred Thousand,"$841,737",-,-,"$841,737",100%
454,Undine,"$823,241",-,-,"$823,241",100%
455,The Call,"$821,666","$516,521",62.9%,"$305,145",37.1%
456,Blithe Spirit,"$820,329","$211,466",25.8%,"$608,863",74.2%
457,The Wishmas Tree,"$819,283",-,-,"$819,283",100%
458,Importinis jaunikis,"$819,278",-,-,"$819,278",100%
459,A Call to Spy,"$808,183","$159,014",19.7%,"$649,169",80.3%
460,Un pays qui se tient sage,"$805,985",-,-,"$805,985",100%
461,Shortcut,"$793,084","$793,084",100%,-,-
462,The Shining 2020 Re-release (40th Anniversary),"$791,114",-,-,"$791,114",100%
463,Never Too Late,"$785,677",-,-,"$785,677",100%
464,My Name Is Francesco Totti,"$781,555",-,-,"$781,555",100%
465,Grease 2020 Re-release,"$779,427","$102,000",13.1%,"$677,427",86.9%
466,Diva,"$777,542",-,-,"$777,542",100%
467,Jaws 2020 Re-release,"$773,250","$758,300",98.1%,"$14,950",1.9%
468,A Nice Girl Like You,"$769,234",-,-,"$769,234",100%
469,Toy Story 2020 Re-release,"$764,172","$727,000",95.1%,"$37,172",4.9%
470,Waiting for the Barbarians,"$761,361",-,-,"$761,361",100%
471,Psycho Pass 3: First Inspector,"$757,096",-,-,"$757,096",100%
472,Engel,"$751,834",-,-,"$751,834",100%
473,Adolescents,"$751,655",-,-,"$751,655",100%
474,Perdida,"$750,192",-,-,"$750,192",100%
475,"Monsters, Inc. 2020 Re-release","$726,000","$726,000",100%,-,-
476,Step,"$725,513",-,-,"$725,513",100%
477,Miss,"$724,554",-,-,"$724,554",100%
478,The Santa Clause 2020 Re-release,"$719,342","$706,000",98.1%,"$13,342",1.9%
479,Z,"$719,318",-,-,"$719,318",100%
480,The Addams Family 2020 Re-release,"$716,968","$678,926",94.7%,"$38,042",5.3%
481,J'irai Mourir Dans Les Carpates,"$715,963",-,-,"$715,963",100%
482,The Polar Express 2020 Re-release,"$715,021","$711,000",99.4%,"$4,021",0.6%
483,The Burnt Orange Heresy,"$711,691","$144,201",20.3%,"$567,490",79.7%
484,The Climb,"$711,639","$234,429",32.9%,"$477,210",67.1%
485,Ghostbusters 2020 Re-release,"$706,606","$605,000",85.6%,"$101,606",14.4%
486,Tonkatsu DJ Age-Taro,"$698,683",-,-,"$698,683",100%
487,Patterns of Evidence: The Red Sea Miracle,"$696,191","$696,191",100%,-,-
488,Varane Avashyamund,"$694,187",-,-,"$694,187",100%
489,Cuties,"$692,459",-,-,"$692,459",100%
490,Bon Bini: Judeska in da House,"$690,397",-,-,"$690,397",100%
491,The Last Vermeer,"$685,380","$685,380",100%,-,-
492,Black Panther 2020 Re-release,"$684,812","$367,000",53.6%,"$317,812",46.4%
493,Akira 2020 Re-release,"$677,548",-,-,"$677,548",100%
494,Into the World,"$672,729",-,-,"$672,729",100%
495,Four Kids and It,"$672,438",-,-,"$672,438",100%
496,My Prince Edward,"$667,735",-,-,"$667,735",100%
497,The Assent,"$666,086",-,-,"$666,086",100%
498,Black Water: Abyss,"$658,110",-,-,"$658,110",100%
499,Locos de Amor 3,"$657,239",-,-,"$657,239",100%
500,Ammonite,"$647,991","$160,930",24.8%,"$487,061",75.2%
501,Besser Welt als Nie,"$647,588",-,-,"$647,588",100%
502,461 Lunch Boxes,"$647,074",-,-,"$647,074",100%
503,Odin vdokh,"$644,262",-,-,"$644,262",100%
504,Alone,"$643,988","$537,589",83.5%,"$106,399",16.5%
505,Herons,"$638,984",-,-,"$638,984",100%
506,Force of Nature,"$638,221",-,-,"$638,221",100%
507,Ala Vaikunthapurramuloo,"$631,683",-,-,"$631,683",100%
508,Mermaid in Paris,"$630,987","$1,988",0.3%,"$628,999",99.7%
509,David Attenborough: A Life on Our Planet,"$627,209",-,-,"$627,209",100%
510,Nurse 3D 2020 Re-release,"$626,386",-,-,"$626,386",100%
511,Space Dogs: Tropical Adventure,"$624,859",-,-,"$624,859",100%
512,Laxmii,"$623,913",-,-,"$623,913",100%
513,Dianas bryllup,"$619,621",-,-,"$619,621",100%
514,V siti 18+,"$616,422",-,-,"$616,422",100%
515,The Secrets We Keep,"$615,113","$207,928",33.8%,"$407,185",66.2%
516,Sisters: The Summer We Found Our Superpowers,"$614,622",-,-,"$614,622",100%
517,Stevie Nicks 24 Karat Gold the Concert,"$613,612","$410,265",66.9%,"$203,347",33.1%
518,"Sí, Mi Amor","$613,049",-,-,"$613,049",100%
519,High School Fleet the Movie,"$609,346",-,-,"$609,346",100%
520,Wild Mountain Thyme,"$603,873","$213,440",35.3%,"$390,433",64.7%
521,Rocks,"$598,859",-,-,"$598,859",100%
522,Pixie,"$597,110",-,-,"$597,110",100%
523,Seberg,"$590,397","$434,702",73.6%,"$155,695",26.4%
524,Rifkin's Festival,"$589,826",-,-,"$589,826",100%
525,Inmate Zero,"$581,583",-,-,"$581,583",100%
526,The Superdeep,"$580,409",-,-,"$580,409",100%
527,Patlabor: The Movie,"$578,959",-,-,"$578,959",100%
528,Dance of the 41,"$578,919",-,-,"$578,919",100%
529,Guardians of the Galaxy 2020 Re-release,"$573,547","$542,000",94.5%,"$31,547",5.5%
530,Baby Done,"$565,602",-,-,"$565,602",100%
531,Christmas at Cattle Hill,"$564,401",-,-,"$564,401",100%
532,Egg,"$554,295",-,-,"$554,295",100%
533,Woman,"$553,975",-,-,"$553,975",100%
534,"Josee, the Tiger and the Fish 2020 Re-release","$552,832",-,-,"$552,832",100%
535,Back to the Future 2020 Re-release,"$551,923","$247,000",44.8%,"$304,923",55.2%
536,The Owners,"$550,151",-,-,"$550,151",100%
537,Followed,"$548,608","$538,179",98.1%,"$10,429",1.9%
538,Trai Tim Quai Vat,"$548,175",-,-,"$548,175",100%
539,The Singer 2020 Re-release,"$546,017",-,-,"$546,017",100%
540,Suriname,"$544,343",-,-,"$544,343",100%
541,Beauty and the Beast 2020 Re-release,"$543,705","$467,000",85.9%,"$76,705",14.1%
542,The Case of the Dead Deadman,"$541,723",-,-,"$541,723",100%
543,Gledelig Jul,"$541,549",-,-,"$541,549",100%
544,André Rieu: Magical Maastricht,"$539,780",-,-,"$539,780",100%
545,Once Were Brothers: Robbie Robertson and the Band,"$536,534","$449,561",83.8%,"$86,973",16.2%
546,Corazón ardiente,"$535,189",-,-,"$535,189",100%
547,Fatima,"$528,344",-,-,"$528,344",100%
548,Hello Again 2020 Re-release,"$524,810",-,-,"$524,810",100%
549,Monster Zone,"$524,524",-,-,"$524,524",100%
550,Go Karts,"$520,191",-,-,"$520,191",100%
551,Miss Marx,"$515,838",-,-,"$515,838",100%
552,The Big Ugly,"$515,399","$514,107",99.7%,"$1,292",0.3%
553,Banksters,"$513,740",-,-,"$513,740",100%
554,The Thief of Baghdad,"$512,990",-,-,"$512,990",100%
555,Kaptan Pengu ve Arkadaslari,"$512,960",-,-,"$512,960",100%
556,Miniforce: Deeno the King of Dinosaurs,"$512,169",-,-,"$512,169",100%
557,The Forgotten Carols,"$502,252","$502,252",100%,-,-
558,Spell,"$500,104","$500,104",100%,-,-
559,An American Pickle,"$499,649",-,-,"$499,649",100%
560,This Town,"$497,248",-,-,"$497,248",100%
561,23 Walks,"$496,672",-,-,"$496,672",100%
562,2001: A Space Odyssey 2020 Re-release,"$494,899",-,-,"$494,899",100%
563,The Lord of the Rings: The Fellowship of the Ring 2020 Re-release,"$492,266","$166,000",33.7%,"$326,266",66.3%
564,Trance,"$490,855",-,-,"$490,855",100%
565,Dime Cuándo Tú,"$489,505",-,-,"$489,505",100%
566,The Macaluso Sisters,"$488,984",-,-,"$488,984",100%
567,A Christmas Gift from Bob,"$485,169",-,-,"$485,169",100%
568,A Son,"$484,291",-,-,"$484,291",100%
569,Dirt Music,"$483,445",-,-,"$483,445",100%
570,"Te quiero, imbécil","$482,113",-,-,"$482,113",100%
571,Magic Arch 3D,"$473,377",-,-,"$473,377",100%
572,True History of the Kelly Gang,"$467,198","$33,817",7.2%,"$433,381",92.8%
573,Tribute to Heroes,"$461,427",-,-,"$461,427",100%
574,Inside Out 2020 Re-release,"$460,176","$460,000",100%,$176,<0.1%
575,Tesla,"$457,687","$93,147",20.4%,"$364,540",79.6%
576,Wonder Woman 2020 Re-release,"$456,493","$252,000",55.2%,"$204,493",44.8%
577,A Spice for Life,"$456,206",-,-,"$456,206",100%
578,Enchanted Feather,"$452,513",-,-,"$452,513",100%
579,Burden,"$450,189","$139,270",30.9%,"$310,919",69.1%
580,The Greatest Showman 2020 Re-release,"$446,052",-,-,"$446,052",100%
581,Zaklete pirko,"$445,004",-,-,"$445,004",100%
582,Don't Listen,"$443,458",-,-,"$443,458",100%
583,The Last Fishing Trip,"$442,701",-,-,"$442,701",100%
584,Lockdown all'italiana,"$440,786",-,-,"$440,786",100%
585,Cuidado con lo que deseas,"$438,748",-,-,"$438,748",100%
586,CatVideoFest 2020,"$437,625","$437,625",100%,-,-
587,Vivarium,"$434,030",-,-,"$434,030",100%
588,The Painter and the Thief,"$431,511",-,-,"$431,511",100%
589,Iron Man 2020 Re-release,"$430,000","$430,000",100%,-,-
590,"Chien Pourri, la vie à Paris!","$429,793",-,-,"$429,793",100%
591,Infamous,"$429,148","$429,148",100%,-,-
592,SIX60: Till the Lights Go Out,"$428,189",-,-,"$428,189",100%
593,You Came Back,"$425,813",-,-,"$425,813",100%
594,Sky Tour: The Movie,"$425,427",-,-,"$425,427",100%
595,Thou Shalt Not Hate,"$425,244",-,-,"$425,244",100%
596,Dreamchild,"$425,047",-,-,"$425,047",100%
597,Die Hard 2020 Re-release,"$423,221","$325,000",76.8%,"$98,221",23.2%
598,Dragevokteren,"$422,456",-,-,"$422,456",100%
599,The Dark and the Wicked,"$422,174","$157,252",37.2%,"$264,922",62.8%
600,The Jack in the Box,"$420,315",-,-,"$420,315",100%
601,The Ghoul: Horror At The Howling Field,"$414,862",-,-,"$414,862",100%
602,Whiplash 2020 Re-release,"$414,706",-,-,"$414,706",100%
603,Jai Mummy Di,"$413,764",-,-,"$413,764",100%
604,Tulsa,"$413,378","$413,378",100%,-,-
605,Behind You,"$412,174",-,-,"$412,174",100%
606,Zengo,"$409,418",-,-,"$409,418",100%
607,Your Eyes on Me,"$405,856",-,-,"$405,856",100%
608,Think Like a Dog,"$403,692",-,-,"$403,692",100%
609,Mio's Cookbook,"$399,142",-,-,"$399,142",100%
610,She Dies Tomorrow,"$398,663","$398,663",100%,-,-
611,Mark of the Devil,"$396,624",-,-,"$396,624",100%
612,Fierce,"$389,978",-,-,"$389,978",100%
613,La mia banda suona il pop,"$389,470",-,-,"$389,470",100%
614,Sul più bello,"$388,737",-,-,"$388,737",100%
615,I Am Woman,"$386,587",-,-,"$386,587",100%
616,The Stolen Princess 2020 Re-release,"$383,116",-,-,"$383,116",100%
617,Alle utlendinger har lukka gardiner,"$382,459",-,-,"$382,459",100%
618,Twilight's Kiss,"$379,273",-,-,"$379,273",100%
619,Dreamkatcher,"$375,836",-,-,"$375,836",100%
620,Servant,"$375,252",-,-,"$375,252",100%
621,Cinema Paradiso 2020 Re-release,"$373,967",-,-,"$373,967",100%
622,Irresistible,"$371,962",-,-,"$371,962",100%
623,The Banger,"$370,388",-,-,"$370,388",100%
624,V Síti: Za Skolou,"$369,226",-,-,"$369,226",100%
625,El Club de los Idealistas,"$368,991",-,-,"$368,991",100%
626,The Kid Detective,"$367,890","$364,138",99%,"$3,752",1%
627,Yellow Rose,"$367,849","$367,849",100%,-,-
628,Burraco fatale,"$367,655",-,-,"$367,655",100%
629,"Fafner In The Azure The Beyond Episodes 7, 8 And 9","$367,582",-,-,"$367,582",100%
630,Adam,"$363,793",-,-,"$363,793",100%
631,Budapest Heist,"$362,921",-,-,"$362,921",100%
632,Princess Lost in Time,"$361,028",-,-,"$361,028",100%
633,Tsoi,"$360,648",-,-,"$360,648",100%
634,Buladó,"$359,807",-,-,"$359,807",100%
635,Working Girls,"$355,614",-,-,"$355,614",100%
636,"Yalda, a Night for Forgivness","$354,395",-,-,"$354,395",100%
637,The Bridge Curse,"$352,336",-,-,"$352,336",100%
638,Lethal Kittens,"$350,515",-,-,"$350,515",100%
639,Songbird,"$349,465",-,-,"$349,465",100%
640,Michael Ball & Alfie Boe Back Together,"$348,660",-,-,"$348,660",100%
641,Sizeless Love,"$345,904",-,-,"$345,904",100%
642,Ghosts of War,"$345,289",-,-,"$345,289",100%
643,Stestí je krásná vec,"$344,395",-,-,"$344,395",100%
644,Pekel'na Khorugva Abo Rizdvo Kozatske,"$343,199",-,-,"$343,199",100%
645,Sputnik,"$342,490","$18,853",5.5%,"$323,637",94.5%
646,Slim & I,"$334,386",-,-,"$334,386",100%
647,"Paolo Conte, via con me","$330,052",-,-,"$330,052",100%
648,The Legend of 1900 2020 Re-release,"$328,821",-,-,"$328,821",100%
649,Host,"$328,567",-,-,"$328,567",100%
650,Masha and the Bear: Bolshoe puteshestvie,"$326,179",-,-,"$326,179",100%
651,Invisible Evidence,"$324,791",-,-,"$324,791",100%
652,Memento 2020 Re-release,"$323,982",-,-,"$323,982",100%
653,About Endlessness,"$323,607",-,-,"$323,607",100%
654,Persian Lessons,"$323,595",-,-,"$323,595",100%
655,Azmah Maliah,"$323,017",-,-,"$323,017",100%
656,Do You Love Me As I Love You,"$322,594",-,-,"$322,594",100%
657,The Self Portrait,"$322,339",-,-,"$322,339",100%
658,Against the Devil,"$321,551",-,-,"$321,551",100%
659,Dreamland,"$311,164",-,-,"$311,164",100%
660,Krasotka!,"$309,966",-,-,"$309,966",100%
661,Attila,"$303,997",-,-,"$303,997",100%
662,Inheritance,"$303,408",-,-,"$303,408",100%
663,The Night Clerk,"$302,127",-,-,"$302,127",100%
664,And Tomorrow the Entire World,"$302,101",-,-,"$302,101",100%
665,Doctor Lisa,"$301,186",-,-,"$301,186",100%
666,Save Yourselves!,"$301,162","$301,162",100%,-,-
667,Never Rarely Sometimes Always,"$299,588","$16,565",5.5%,"$283,023",94.5%
668,Gremlins 2020 Re-release,"$299,113","$295,000",98.6%,"$4,113",1.4%
669,Freies Land,"$297,983",-,-,"$297,983",100%
670,Deliver Us from Evil 2020 Final Cut,"$295,107",-,-,"$295,107",100%
671,La Llorona,"$294,404",-,-,"$294,404",100%
672,Shinigami: The Death Handler,"$294,271",-,-,"$294,271",100%
673,An Irrepressible Woman,"$294,102",-,-,"$294,102",100%
674,Resistance,"$292,888","$7,464",2.5%,"$285,424",97.5%
675,Romantic Road,"$292,399",-,-,"$292,399",100%
676,Death of Me,"$292,271",-,-,"$292,271",100%
677,Jackie & Oopjen,"$291,632",-,-,"$291,632",100%
678,Awoken,"$291,390",-,-,"$291,390",100%
679,Citizens of the World,"$287,545",-,-,"$287,545",100%
680,In My Blood It Runs,"$287,354",-,-,"$287,354",100%
681,Zenská pomsta,"$287,350",-,-,"$287,350",100%
682,Calamity Jane,"$287,349",-,-,"$287,349",100%
683,Troe,"$284,356",-,-,"$284,356",100%
684,Trash,"$284,200",-,-,"$284,200",100%
685,Sufna,"$283,196",-,-,"$283,196",100%
686,Created Equal: Clarence Thomas in His Own Words,"$282,149","$282,149",100%,-,-
687,Listen,"$281,807",-,-,"$281,807",100%
688,The Silence of the Marsh,"$279,983",-,-,"$279,983",100%
689,Divorzio a Las Vegas,"$277,151",-,-,"$277,151",100%
690,Eyes on Me: The Movie,"$275,799",-,-,"$275,799",100%
691,Swallow,"$274,259","$33,419",12.2%,"$240,840",87.8%
692,Lux Æterna,"$273,546",-,-,"$273,546",100%
693,I Am Greta,"$273,088",-,-,"$273,088",100%
694,The Bee Gees: How Can You Mend a Broken Heart,"$272,918",-,-,"$272,918",100%
695,Love Actually 2020 Re-release,"$271,401",-,-,"$271,401",100%
696,Forensic,"$269,095",-,-,"$269,095",100%
697,Weekend with Pops,"$268,737",-,-,"$268,737",100%
698,An American in Paris 2020 Re-release,"$267,824","$267,824",100%,-,-
699,Captain America: Civil War 2020 Re-release,"$265,356",-,-,"$265,356",100%
700,Lingering,"$265,265",-,-,"$265,265",100%
701,Baseball Girl,"$261,841",-,-,"$261,841",100%
702,The Doorman,"$259,883",-,-,"$259,883",100%
703,Modelar,"$259,621",-,-,"$259,621",100%
704,Heaven,"$259,323","$259,323",100%,-,-
705,Shirley,"$258,736",-,-,"$258,736",100%
706,Berlin Alexanderplatz,"$257,901",-,-,"$257,901",100%
707,Amma Hófí,"$257,430",-,-,"$257,430",100%
708,The Muppet Christmas Carol 2020 Re-release,"$255,064","$100,000",39.2%,"$155,064",60.8%
709,Tarapaty 2,"$253,263",-,-,"$253,263",100%
710,Dirty Dancing,"$252,688",-,-,"$252,688",100%
711,Deception 2020 Re-release,"$252,039",-,-,"$252,039",100%
712,Viddana,"$251,997",-,-,"$251,997",100%
713,Hacked,"$246,996",-,-,"$246,996",100%
714,La Liga de los 5,"$244,743",-,-,"$244,743",100%
715,Low Season,"$244,704",-,-,"$244,704",100%
716,Rogue,"$242,884",-,-,"$242,884",100%
717,Archive,"$242,195","$139,593",57.6%,"$102,602",42.4%
718,The Trip to Greece,"$240,165","$8,340",3.5%,"$231,825",96.5%
719,The Lord of the Rings: The Return of the King 2020 Re-release,"$237,586",-,-,"$237,586",100%
720,Tokyo Godfathers 2020 Re-release,"$237,571","$237,571",100%,-,-
721,Jungle Beat: The Movie,"$237,312",-,-,"$237,312",100%
722,Star Wars: Episode IV - A New Hope 2020 Re-release,"$237,148",-,-,"$237,148",100%
723,Felicità,"$236,880",-,-,"$236,880",100%
724,Blind Eyes Opened,"$234,505","$234,505",100%,-,-
725,Tempos,"$233,968",-,-,"$233,968",100%
726,Alva Og Regnbuedragen,"$233,397",-,-,"$233,397",100%
727,Narcissus and Goldmund,"$233,325",-,-,"$233,325",100%
728,U311 Cherkasy,"$233,284",-,-,"$233,284",100%
729,The Room 2020 Re-release,"$231,773",-,-,"$231,773",100%
730,Toei Manga Matsuri 2020,"$231,148",-,-,"$231,148",100%
731,Star Wars: Episode VII - The Force Awakens 2020 Re-release,"$230,509",-,-,"$230,509",100%
732,Wolfwalkers,"$229,041",-,-,"$229,041",100%
733,Doctor Who Live Q&A And Screening,"$228,615","$228,615",100%,-,-
734,Big Brother,"$228,014",-,-,"$228,014",100%
735,Sahane Hayaller,"$226,809",-,-,"$226,809",100%
736,Tootsies & the Fake,"$224,766",-,-,"$224,766",100%
737,Reshala. Nulevye,"$224,764",-,-,"$224,764",100%
738,Deadpool 2020 Re-release,"$224,636",-,-,"$224,636",100%
739,Survive the Night,"$220,371",-,-,"$220,371",100%
740,Lucky Chan-sil,"$219,623",-,-,"$219,623",100%
741,Star Wars: Episode VI - Return of the Jedi 2020 Re-release,"$217,664",-,-,"$217,664",100%
742,David Byrne's American Utopia,"$217,630",-,-,"$217,630",100%
743,Eléonore,"$217,529",-,-,"$217,529",100%
744,Frozen 2020 Re-release,"$216,993","$215,000",99.1%,"$1,993",0.9%
745,Dogtooth 2020 Re-release,"$216,591",-,-,"$216,591",100%
746,Thor: Ragnarok 2020 Re-release,"$212,258",-,-,"$212,258",100%
747,Vergeet my nie,"$210,386",-,-,"$210,386",100%
748,Two of Us,"$208,723","$5,495",2.6%,"$203,228",97.4%
749,Furious 7 2020 Re-release,"$207,951",-,-,"$207,951",100%
750,The Whaler Boy,"$207,853",-,-,"$207,853",100%
751,Feel the Beat,"$207,678",-,-,"$207,678",100%
752,Vernacular plan,"$207,276",-,-,"$207,276",100%
753,The Terminator,"$204,360",-,-,"$204,360",100%
754,My Days of Glory,"$204,055",-,-,"$204,055",100%
755,Bad Tales,"$202,560",-,-,"$202,560",100%
756,In the Name of Love,"$202,474",-,-,"$202,474",100%
757,Billie,"$201,200",-,-,"$201,200",100%
758,Suraj Pe Mangal Bhari,"$200,802",-,-,"$200,802",100%
759,Uncle Vanya,"$199,461",-,-,"$199,461",100%
760,Oeconomia,"$198,158",-,-,"$198,158",100%
761,Harry Potter and the Deathly Hallows: Part 2 2020 Re-release,"$195,826",-,-,"$195,826",100%
762,Batman Begins 2020 Re-release,"$195,729",-,-,"$195,729",100%
763,"Love, Weddings & Other Disasters","$194,611",-,-,"$194,611",100%
764,Agir Romantik,"$193,612",-,-,"$193,612",100%
765,Meky,"$192,381",-,-,"$192,381",100%
766,Czysciec,"$191,439",-,-,"$191,439",100%
767,We Summon the Darkness,"$190,760","$60,794",31.9%,"$129,966",68.1%
768,The Silent Forest,"$190,404",-,-,"$190,404",100%
769,The Doors: Break On Thru - A Celebration Of Ray Manzarek,"$190,160","$190,160",100%,-,-
770,The Hero Battle,"$190,035",-,-,"$190,035",100%
771,Deadly Illusions,"$188,864",-,-,"$188,864",100%
772,The Predators,"$188,464",-,-,"$188,464",100%
773,Captain Marvel 2020 Re-release,"$188,178",-,-,"$188,178",100%
774,Beating Heart,"$187,953",-,-,"$187,953",100%
775,The Prom,"$187,430",-,-,"$187,430",100%
776,Sea Fever,"$185,447",-,-,"$185,447",100%
777,The Wolf of Snow Hollow,"$185,026","$185,026",100%,-,-
778,Alien 2020 Re-release,"$184,354","$135,000",73.2%,"$49,354",26.8%
779,Lucky Grandma,"$183,561","$102,000",55.6%,"$81,561",44.4%
780,Blade Runner 2020 Re-release,"$183,466",-,-,"$183,466",100%
781,The Postcard Killings,"$181,415",-,-,"$181,415",100%
782,Six Minutes to Midnight,"$181,216",-,-,"$181,216",100%
783,Ottolenghi and the Cakes of Versailles,"$179,252","$4,962",2.8%,"$174,290",97.2%
784,The Lord of the Rings: The Two Towers 2020 Re-release,"$176,882",-,-,"$176,882",100%
785,Classic Again,"$175,027",-,-,"$175,027",100%
786,The Booksellers,"$175,003","$25,694",14.7%,"$149,309",85.3%
787,Rassegna Cinematografica,"$174,464",-,-,"$174,464",100%
788,Hola pravda,"$174,204",-,-,"$174,204",100%
789,Night Ride,"$173,798",-,-,"$173,798",100%
790,The Warden,"$173,274",-,-,"$173,274",100%
791,The Silencing,"$170,653","$100,746",59%,"$69,907",41%
792,Wonder 2020 Re-release,"$169,130",-,-,"$169,130",100%
793,Idiot Prayer,"$168,842",-,-,"$168,842",100%
794,Hypnosis,"$168,743",-,-,"$168,743",100%
795,The Godfather: Part III 2020 Re-release,"$168,246","$95,330",56.7%,"$72,916",43.3%
