Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,"Hi, Mom","$677,300,000",-,-,"$677,300,000",100%
2,Detective Chinatown 3,"$667,313,970",-,-,"$667,313,970",100%
3,A Writer's Odyssey,"$125,983,543","$110,779",<0.1%,"$125,872,764",99.9%
4,Boonie Bears: The Wild Life,"$77,703,944",-,-,"$77,703,944",100%
5,Endgame,"$57,434,925","$23,149",<0.1%,"$57,411,776",100%
6,Nazha Reborn,"$56,088,379",-,-,"$56,088,379",100%
7,Tom and Jerry,"$39,710,000","$14,110,000",35.5%,"$25,600,000",64.5%
8,The Yinyang Master,"$37,690,000",-,-,"$37,690,000",100%
9,Big Red Envelope,"$32,800,000",-,-,"$32,800,000",100%
10,Master,"$28,692,230",-,-,"$28,692,230",100%
11,The Last Warrior: Root of Evil,"$28,242,183",-,-,"$28,242,183",100%
12,The Little Things,"$23,210,000","$12,910,000",55.6%,"$10,300,000",44.4%
13,I Fell in Love Like A Flower Bouquet,"$21,315,816",-,-,"$21,315,816",100%
14,Wish Dragon,"$21,120,000",-,-,"$21,120,000",100%
15,The Marksman,"$16,544,036","$12,502,509",75.6%,"$4,041,527",24.4%
16,Gintama: The Final,"$16,385,184",-,-,"$16,385,184",100%
17,The Dry,"$12,202,777",-,-,"$12,202,777",100%
18,Upon the Magic Roads,"$11,376,532",-,-,"$11,376,532",100%
19,Krack,"$10,442,916",-,-,"$10,442,916",100%
20,The Soul,"$9,600,000",-,-,"$9,600,000",100%
21,Detective Conan: The Scarlet Alibi,"$6,929,521",-,-,"$6,929,521",100%
22,Octonauts: The Ring of Fire,"$5,300,000",-,-,"$5,300,000",100%
23,Suicide Forest Village,"$5,087,275",-,-,"$5,087,275",100%
24,Red,"$4,920,261",-,-,"$4,920,261",100%
25,The Relatives,"$4,300,000",-,-,"$4,300,000",100%
26,Judas and the Black Messiah,"$4,142,000","$4,061,000",98%,"$81,000",2%
27,Under the Open Sky,"$3,675,430",-,-,"$3,675,430",100%
28,Batya,"$3,602,322",-,-,"$3,602,322",100%
29,Penguin Bloom,"$3,359,575",-,-,"$3,359,575",100%
30,Mission Possible,"$2,648,563",-,-,"$2,648,563",100%
31,Land,"$2,210,895","$2,210,895",100%,-,-
32,Yakuza and the Family,"$2,168,905",-,-,"$2,168,905",100%
33,30 Rojullo Preminchadam Ela?,"$2,088,571",-,-,"$2,088,571",100%
34,The Night Beyond the Tricornered Window,"$2,081,564",-,-,"$2,081,564",100%
35,Alludu Adhurs,"$1,915,032",-,-,"$1,915,032",100%
36,The Mauritanian,"$1,712,040","$569,787",33.3%,"$1,142,253",66.7%
37,The Con-Heartist,"$1,540,769",-,-,"$1,540,769",100%
38,La La Land 2020 Re-release,"$1,456,649",-,-,"$1,456,649",100%
39,Wrong Turn,"$1,450,708","$333,597",23%,"$1,117,111",77%
40,Eeswaran,"$1,413,760",-,-,"$1,413,760",100%
41,New Year Blues,"$1,344,633",-,-,"$1,344,633",100%
42,Zombie Reddy,"$1,242,321",-,-,"$1,242,321",100%
43,Sailor Moon Eternal,"$1,130,225",-,-,"$1,130,225",100%
44,Extinct,"$1,042,323",-,-,"$1,042,323",100%
45,I Care a Lot,"$1,041,413",-,-,"$1,041,413",100%
46,Nomadland,"$1,031,000","$1,031,000",100%,-,-
47,Zoya,"$944,885",-,-,"$944,885",100%
48,The North Wind,"$930,130",-,-,"$930,130",100%
49,Shadow in the Cloud,"$891,909","$40,000",4.5%,"$851,909",95.5%
50,High Ground,"$745,296",-,-,"$745,296",100%
51,Chaos Walking,"$730,117",-,-,"$730,117",100%
52,The Way We Keep Dancing,"$660,554",-,-,"$660,554",100%
53,Our Friend,"$657,351","$657,351",100%,-,-
54,Music,"$619,049",-,-,"$619,049",100%
55,Tazza: One-Eyed Jack 2021 Re-release,"$614,825",-,-,"$614,825",100%
56,Three Sisters 2021 Re-release,"$594,075",-,-,"$594,075",100%
57,Dark Spell,"$512,831",-,-,"$512,831",100%
58,Maya the Bee 3: The Golden Orb,"$473,777",-,-,"$473,777",100%
59,Kalathil Sandhippom,"$453,001",-,-,"$453,001",100%
60,Long Story Short,"$446,152",-,-,"$446,152",100%
61,Twist,"$423,206",-,-,"$423,206",100%
62,The Cinderella Addiction,"$421,202",-,-,"$421,202",100%
63,Bangaru Bullodu,"$418,267",-,-,"$418,267",100%
64,Ainbo,"$388,637",-,-,"$388,637",100%
65,The Emperor's New Groove 2021 Re-release,"$334,000","$334,000",100%,-,-
66,Riders of Justice,"$330,646",-,-,"$330,646",100%
67,Willy's Wonderland,"$327,430","$327,430",100%,-,-
68,Kabadadaari,"$302,563",-,-,"$302,563",100%
69,Abominable 2021 Re-release,"$298,799","$110,000",36.8%,"$188,799",63.2%
70,Dawn Raid,"$295,824",-,-,"$295,824",100%
71,Ginger's Tale,"$282,696",-,-,"$282,696",100%
72,Don't Heal Me,"$282,513",-,-,"$282,513",100%
73,Supernova,"$269,924","$238,867",88.5%,"$31,057",11.5%
74,Hidden Figures 2021 Re-release,"$268,295",-,-,"$268,295",100%
75,My Salinger Year,"$236,653",-,-,"$236,653",100%
76,Vellam,"$233,364",-,-,"$233,364",100%
77,Kto-nibud videl moyu devchonku?,"$228,093",-,-,"$228,093",100%
78,Earwig and the Witch,"$207,982","$173,704",83.5%,"$34,278",16.5%
79,Crisis,"$201,321","$201,321",100%,-,-
80,The Only Way Out,"$198,184",-,-,"$198,184",100%
81,The Child Who Would Not Come,"$187,589",-,-,"$187,589",100%
82,Occupation: Rainfall,"$185,137",-,-,"$185,137",100%
83,Um Tio Quase Perfeito 2,"$180,607",-,-,"$180,607",100%
84,Boss Level,"$174,600",-,-,"$174,600",100%
85,Groundhog Day 2021 Re-release,"$166,447","$166,447",100%,-,-
